MTD_org	=	1,	2356,	70,	56,	134,	0.417910447761194
pv_qsearch_use_see	=	2,	2325,	70,	25,	125,	0.2
nonpv_qsearch_use_queen_material_margin	=	3,	2321,	62,	21,	107,	0.19626168224299065
nonpv_pruning_null_move_true	=	4,	2319,	64,	19,	121,	0.15702479338842976
nonpv_optimization_tpt_scores	=	5,	2318,	62,	18,	110,	0.16363636363636364
pv_pruning_null_move_true	=	6,	2313,	62,	13,	109,	0.11926605504587157
pv_qsearch_pruning_mate_distance	=	7,	2310,	64,	10,	98,	0.10204081632653061
nonpv_reduction_lmr1_4	=	8,	2309,	62,	9,	113,	0.07964601769911504
pv_qsearch_use_queen_material_margin	=	9,	2308,	62,	8,	80,	0.1
nonpv_qsearch_optimization_tpt_scores	=	10,	2308,	62,	8,	124,	0.06451612903225806
nonpv_qsearch_move_checks	=	11,	2308,	62,	8,	74,	0.10810810810810811
LKG	=	12,	2306,	64,	6,	102,	0.058823529411764705
nonpv_reduction_too_good_scores	=	13,	2304,	64,	4,	98,	0.04081632653061224
LKG1	=	14,	2303,	62,	3,	101,	0.0297029702970297
nonpv_reduction_lmr1_5	=	15,	2303,	64,	3,	111,	0.02702702702702703
nonpv_qsearch_pruning_mate_distance	=	16,	2303,	64,	3,	93,	0.03225806451612903
pv_reduction_lmr1_7	=	17,	2301,	62,	1,	101,	0.009900990099009901
nonpv_pruning_mate_distance_true	=	18,	2301,	64,	1,	123,	0.008130081300813009
pv_qsearch_optimization_tpt_scores	=	19,	2299,	62,	-1,	79,	-0.012658227848101266
pv_qsearch_store_tpt_scores	=	20,	2299,	64,	-1,	123,	-0.008130081300813009
nonpv_reduction_lmr1_2	=	21,	2298,	62,	-2,	82,	-0.024390243902439025
pv_qsearch_move_checks	=	22,	2296,	64,	-4,	104,	-0.038461538461538464
nonpv_reduction_lmr1_6	=	23,	2294,	64,	-6,	110,	-0.05454545454545454
pv_optimization_tpt_scores	=	24,	2291,	64,	-9,	101,	-0.0891089108910891
pv_reduction_lmr1_4	=	25,	2291,	62,	-9,	105,	-0.08571428571428572
pv_reduction_lmr1_5	=	26,	2291,	62,	-9,	135,	-0.06666666666666667
nonpv_qsearch_use_see	=	27,	2291,	62,	-9,	117,	-0.07692307692307693
pv_reduction_lmr1_6	=	28,	2289,	64,	-11,	127,	-0.08661417322834646
pv_reduction_lmr1_1	=	29,	2286,	64,	-14,	82,	-0.17073170731707318
nonpv_reduction_lmr1_3	=	30,	2286,	62,	-14,	84,	-0.16666666666666666
pv_pruning_mate_distance_true	=	31,	2283,	62,	-17,	105,	-0.1619047619047619
nonpv_qsearch_store_tpt_scores	=	32,	2281,	64,	-19,	107,	-0.17757009345794392
pv_reduction_lmr1_3	=	33,	2276,	64,	-24,	114,	-0.21052631578947367
nonpv_reduction_lmr1_7	=	34,	2269,	62,	-31,	109,	-0.28440366972477066
LKG0	=	35,	2264,	70,	-36,	118,	-0.3050847457627119
